n,n1,n2,n1_frac,K,r,R0_1,R0_2,drop,TV_piece_vs_avg,KL_piece_vs_avg,MAP_piece,MAP_avg,MAP_changed
50,5,45,0.1,2000,0.1,3.0,1.5,0.5,2.6555754651675506e-05,2.766577541572543e-07,50,50,False
50,5,45,0.1,2000,0.1,3.0,1.2000000000000002,0.6,5.221724089324656e-05,1.82738408627645e-07,50,50,False
50,5,45,0.1,2000,0.1,3.0,0.9000000000000001,0.7,0.00010102698143327725,1.265202719682128e-07,50,50,False
50,5,45,0.1,2000,0.1,3.0,0.5999999999999999,0.8,0.00023187740263201813,1.9050343109822403e-07,50,50,False
50,5,45,0.1,2000,0.2,3.0,2.7,0.1,3.0526146944350526e-06,1.20415138199014e-08,50,50,False
50,5,45,0.1,2000,0.2,3.0,2.4000000000000004,0.2,1.428177523044201e-05,5.929169808320363e-07,50,50,False
50,5,45,0.1,2000,0.2,3.0,2.0999999999999996,0.3,3.7637168593593166e-05,4.38737219793111e-08,50,50,False
50,5,45,0.1,2000,0.2,3.0,1.7999999999999998,0.4,7.801360564047531e-05,5.0181038053459634e-08,50,50,False
50,5,45,0.1,2000,0.2,3.0,1.5,0.5,0.00014547366291860642,2.4692785823933526e-07,49,49,False
50,5,45,0.1,2000,0.2,3.0,1.2000000000000002,0.6,0.0002556448257618922,2.7922500707899724e-07,49,49,False
50,5,45,0.1,2000,0.2,3.0,0.9000000000000001,0.7,0.0004109494361226322,7.044014104160543e-07,49,49,False
50,5,45,0.1,2000,0.2,3.0,0.5999999999999999,0.8,0.0008058457805361682,2.251720131065554e-06,48,48,False
50,5,45,0.1,2000,0.5,3.0,2.7,0.1,1.6917825391390626e-05,7.187714921423423e-09,46,46,False
50,5,45,0.1,2000,0.5,3.0,2.4000000000000004,0.2,7.576386408761696e-05,3.1745087208790043e-08,46,46,False
50,5,45,0.1,2000,0.5,3.0,2.0999999999999996,0.3,0.00019348346650375353,1.8671721209854002e-07,45,45,False
50,5,45,0.1,2000,0.5,3.0,1.7999999999999998,0.4,0.0003957196561069111,6.228578125646028e-07,44,44,False
50,5,45,0.1,2000,0.5,3.0,1.5,0.5,0.0007177609540468707,2.044907026454818e-06,43,43,False
50,5,45,0.1,2000,0.5,3.0,1.2000000000000002,0.6,0.0012376612557342959,6.002629402622157e-06,41,41,False
50,5,45,0.1,2000,0.5,3.0,0.9000000000000001,0.7,0.002056350114498069,1.6944799594995578e-05,39,39,False
50,5,45,0.1,2000,0.5,3.0,0.5999999999999999,0.8,0.003499992341005509,4.921868433634456e-05,33,33,False
50,10,40,0.2,2000,0.05,3.0,2.7,0.1,4.386610052801998e-07,7.708286990023756e-07,50,50,False
50,10,40,0.2,2000,0.05,3.0,2.4000000000000004,0.2,6.921428346018388e-07,2.943827189044369e-06,50,50,False
50,10,40,0.2,2000,0.05,3.0,2.0999999999999996,0.3,9.644357656796165e-07,6.767373568781689e-07,50,50,False
50,10,40,0.2,2000,0.05,3.0,1.7999999999999998,0.4,2.1006709875343033e-06,3.9126888579002833e-07,50,50,False
50,10,40,0.2,2000,0.05,3.0,1.5,0.5,4.650330472148051e-06,1.5673347748154026e-07,50,50,False
50,10,40,0.2,2000,0.05,3.0,1.2000000000000002,0.6,1.0855177534071364e-05,5.577238118540934e-06,50,50,False
50,10,40,0.2,2000,0.05,3.0,0.9000000000000001,0.7,2.2898822809678393e-05,3.3159087002656157e-06,50,50,False
50,10,40,0.2,2000,0.05,3.0,0.5999999999999999,0.8,5.861658395859941e-05,1.1539785392369995e-06,50,50,False
50,10,40,0.2,2000,0.1,3.0,2.7,0.1,8.137147892925412e-07,1.9720685240759365e-07,50,50,False
50,10,40,0.2,2000,0.1,3.0,2.4000000000000004,0.2,3.6007911144299396e-06,5.706655881477187e-08,50,50,False
50,10,40,0.2,2000,0.1,3.0,2.0999999999999996,0.3,1.0291738906445524e-05,1.9860692554498748e-07,50,50,False
50,10,40,0.2,2000,0.1,3.0,1.7999999999999998,0.4,2.3484379102774178e-05,2.9759966867084016e-06,50,50,False
50,10,40,0.2,2000,0.1,3.0,1.5,0.5,4.845150810521212e-05,2.0140858856809775e-06,50,50,False
50,10,40,0.2,2000,0.1,3.0,1.2000000000000002,0.6,9.627787177092853e-05,1.6791684538075796e-07,50,50,False
50,10,40,0.2,2000,0.1,3.0,0.9000000000000001,0.7,0.0001904637567342578,2.4688101190741365e-07,50,50,False
50,10,40,0.2,2000,0.1,3.0,0.5999999999999999,0.8,0.0004356874035782079,1.277959055479721e-06,50,50,False
50,10,40,0.2,2000,0.2,3.0,2.7,0.1,5.579898743204338e-06,7.817056244963991e-08,50,50,False
50,10,40,0.2,2000,0.2,3.0,2.4000000000000004,0.2,2.582331689520616e-05,1.9644940548205566e-07,50,50,False
50,10,40,0.2,2000,0.2,3.0,2.0999999999999996,0.3,6.88509854834974e-05,5.400942143791689e-08,50,50,False
50,10,40,0.2,2000,0.2,3.0,1.7999999999999998,0.4,0.00014506176304829635,1.2375465682361612e-07,50,50,False
50,10,40,0.2,2000,0.2,3.0,1.5,0.5,0.0002708923640277962,3.034085872401595e-07,49,49,False
50,10,40,0.2,2000,0.2,3.0,1.2000000000000002,0.6,0.0004912276616818893,8.847626121309834e-07,49,49,False
50,10,40,0.2,2000,0.2,3.0,0.9000000000000001,0.7,0.0008075884233087797,2.5932409638036594e-06,49,49,False
50,10,40,0.2,2000,0.2,3.0,0.5999999999999999,0.8,0.001571817290112285,8.506357412324376e-06,48,48,False
50,10,40,0.2,2000,0.5,3.0,2.7,0.1,3.053695805539658e-05,7.553933449362213e-08,46,46,False
50,10,40,0.2,2000,0.5,3.0,2.4000000000000004,0.2,0.0001364117619601854,1.1071566061466143e-07,46,46,False
50,10,40,0.2,2000,0.5,3.0,2.0999999999999996,0.3,0.00035531100376938983,7.369154373884922e-07,45,45,False
50,10,40,0.2,2000,0.5,3.0,1.7999999999999998,0.4,0.0007239146922576704,2.1190548868748552e-06,45,45,False
