run_idx,sampler_seed,pmf_seed,n,K_ref,prior,N_accept,max_trials,accepted,trials,accept_rate,TV,KL,EZ_exact,H_exact,EZ_abc,H_abc,EZ_abs_diff,H_abs_diff,t_exact_ms,t_sampler_s,TV_std,KL_std,EZ_abc_std,H_abc_std,EZ_abs_diff_std,H_abs_diff_std,t_sampler_s_std
0,0,0,10,400,flat,50000,50000000,50000.0,1051708.0,0.047541713099073124,0.0017486118896305456,1.2956812524127735e-05,7.939584059640765,1.8710366705517116,7.94524,1.8689398521728677,0.00565594035923489,0.002096818378843901,14.740374999746564,11.671032041999752,,,,,,,
1,1,0,10,400,flat,50000,50000000,50000.0,1054838.0,0.047400643511136306,0.004064968499094239,4.190346612355082e-05,7.939584059640765,1.8710366705517116,7.93504,1.8714071562318912,0.004544059640765319,0.0003704856801796108,0.2745000001596054,11.995816957999523,,,,,,,
2,2,0,10,400,flat,50000,50000000,50000.0,1044175.0,0.047884693657672325,0.006513878820389502,0.00016203386996397544,7.939584059640765,1.8710366705517116,7.929160000000001,1.8746117201354533,0.010424059640763872,0.003575049583741663,0.28670799929386703,11.921049333000155,,,,,,,
3,3,0,10,400,flat,50000,50000000,50000.0,1047316.0,0.047741082920532106,0.004640005483776331,7.633588924447002e-05,7.939584059640765,1.8710366705517116,7.9573599999999995,1.8653909348125715,0.017775940359234355,0.0056457357391401786,0.309166999613808,12.075915290999546,,,,,,,
4,4,0,10,400,flat,50000,50000000,50000.0,1056248.0,0.04733736773939454,0.004087935955673451,4.931620763336036e-05,7.939584059640765,1.8710366705517116,7.934419999999999,1.871838612158959,0.005164059640765828,0.0008019416072473362,0.28087499958928674,12.664724207999825,,,,,,,
5,5,0,10,400,flat,50000,50000000,50000.0,1038061.0,0.04816672623285144,0.004492661550492053,7.983087519420088e-05,7.939584059640765,1.8710366705517116,7.93648,1.8705998518369185,0.003104059640764767,0.0004368187147931746,0.3047919999517035,11.99609375,,,,,,,
6,6,0,10,400,flat,50000,50000000,50000.0,1042705.0,0.04795220124579819,0.002687326594442124,2.7183645750060697e-05,7.939584059640765,1.8710366705517116,7.937840000000001,1.8722038847871103,0.001744059640763851,0.0011672142353986725,0.2838340005837381,11.934972083000503,,,,,,,
7,7,0,10,400,flat,50000,50000000,50000.0,1047238.0,0.047744638754514256,0.003739831410199415,6.948862590732763e-05,7.939584059640765,1.8710366705517116,7.9436800000000005,1.8719067017368367,0.004095940359235328,0.0008700311851250753,0.2741660000538104,12.088234542000464,,,,,,,
8,8,0,10,400,flat,50000,50000000,50000.0,1053448.0,0.04746318755173488,0.005946955365985643,9.559507069218818e-05,7.939584059640765,1.8710366705517116,7.944940000000001,1.8673044967108654,0.005355940359235589,0.0037321738408462313,0.26787500064529013,11.984160791999784,,,,,,,
9,9,0,10,400,flat,50000,50000000,50000.0,1043180.0,0.04793036676316647,0.006206121179610506,0.0001249347450651033,7.939584059640765,1.8710366705517116,7.9447600000000005,1.869096725573784,0.005175940359235298,0.001939944977927599,0.27204099933442194,11.940792790999694,,,,,,,
AGG,,,10,400,flat,50000,50000000,50000.0,1047891.7,0.04771626214758737,0.0044128296749293815,7.395792080983651e-05,7.939584059640765,1.8710366705517116,7.940892000000001,1.8703299936157258,0.0063039999999999095,0.0020636213943243443,14.740374999746564,12.027279178999924,0.00152011449948529,4.5249882409359666e-05,0.007970597077871516,0.0026841317230068794,0.0046125032951887,0.0017400401746792203,0.25175739829766014
