epoch,train_loss,test_loss,test_log_likelihood,tail_kl_divergence,test_log_likelihood_mean,test_log_likelihood_std,tail_kl_divergence_mean,tail_kl_divergence_std
1,1.203108236193657,1.3025881052017212,-1.3025881052017212,1.9548242519708758,-1.0814228534698487,0.11164732234497547,1.451465997419535,0.35760048948969864
2,1.107516959309578,1.284228801727295,-1.284228801727295,1.9181431442710015,-1.0313722014427185,0.13947257411284913,1.3933497443934786,0.344864133879807
3,1.0865790247917175,1.278083324432373,-1.278083324432373,1.8395894212789992,-1.009870994091034,0.141378929108821,1.3124615750658128,0.33190639215509726
4,1.0741008818149567,1.2523629665374756,-1.2523629665374756,1.7334354525600395,-0.9910189270973205,0.13349695305665985,1.2076308299178944,0.3160366516547944
5,1.0491246581077576,1.2152678966522217,-1.2152678966522217,1.6085528655864638,-0.963400948047638,0.12233915912669344,1.0683265626125054,0.30016564277939245
6,1.0236809700727463,1.1670019626617432,-1.1670019626617432,1.4399372726112305,-0.9260981559753418,0.11044731338814964,0.8862822880303927,0.2744871995832017
7,0.9945022016763687,1.1112537384033203,-1.1112537384033203,1.214044718097945,-0.8868070006370544,0.10232295798675746,0.6871294567650061,0.22605708479053052
8,0.9604284912347794,1.046522855758667,-1.046522855758667,0.9282476901976678,-0.8622307419776917,0.1035396110737866,0.556765184782835,0.15426819446525006
9,0.912272721529007,0.9927366971969604,-0.9927366971969604,0.6820303683730379,-0.853118646144867,0.10635078744779454,0.5027913513326492,0.11264549712874135
10,0.8849058747291565,0.963212251663208,-0.963212251663208,0.5469964329658592,-0.8511964917182923,0.10747286423243968,0.486348903562127,0.08897766292187816
11,0.8755538463592529,0.9518836736679077,-0.9518836736679077,0.4886265790396065,-0.8521461248397827,0.1081053292757377,0.48758188164480387,0.07960854999471659
12,0.8708366751670837,0.9493749141693115,-0.9493749141693115,0.47646876391501536,-0.8533534169197082,0.108536337427213,0.49649474094336626,0.07585511458433569
13,0.8703959435224533,0.9492824673652649,-0.9492824673652649,0.4719891244499158,-0.8537234306335449,0.11093271814476566,0.5010235426289384,0.07657863832783639
14,0.8712485134601593,0.9482697248458862,-0.9482697248458862,0.46784688561438986,-0.8530897617340087,0.11325237302448506,0.5002634148805932,0.0814054271999495
15,0.8710616081953049,0.9472800493240356,-0.9472800493240356,0.46437966457072627,-0.8520541667938233,0.11320349825934006,0.49632594228299565,0.08101349605119995
16,0.8711908012628555,0.9477040767669678,-0.9477040767669678,0.4671869177930123,-0.8530439972877503,0.11471978153768331,0.49465213115356466,0.0794694957543403
17,0.8702705651521683,0.9460930824279785,-0.9460930824279785,0.46391784666092534,-0.8530747056007385,0.11303063870253187,0.49781007345246564,0.07527443224090533
18,0.8732205033302307,0.9459804892539978,-0.9459804892539978,0.4604883009887832,-0.8533671379089356,0.11202939026723321,0.5010798151710962,0.07266003300937406
19,0.8697420954704285,0.9457955360412598,-0.9457955360412598,0.465141505773099,-0.8535730957984924,0.1134146671783722,0.49932255933443137,0.0752512046456778
20,0.8692208677530289,0.9469752311706543,-0.9469752311706543,0.47323630657640314,-0.8531318306922913,0.11331789170754071,0.495776307036729,0.0737188211634153
21,0.8704499453306198,0.9493494033813477,-0.9493494033813477,0.48139446260409463,-0.852387011051178,0.11240705443734991,0.49343099474384877,0.07401969168700438
22,0.8698049187660217,0.9491170644760132,-0.9491170644760132,0.4729773555267894,-0.8530243754386901,0.11233695391786445,0.49505833042101777,0.07289399033963401
23,0.8705167472362518,0.9506269693374634,-0.9506269693374634,0.4692407727464547,-0.8521869540214538,0.11204775389026837,0.49435416397050325,0.07648661999833777
24,0.8696494698524475,0.9493979215621948,-0.9493979215621948,0.4726049385358759,-0.8536122918128968,0.11422795910952283,0.4965274382361008,0.07674682038619031
25,0.8695871531963348,0.9488062858581543,-0.9488062858581543,0.47669617948799536,-0.851426613330841,0.11140847972939903,0.49054612175542395,0.07846495083205596
26,0.8697195500135422,0.9490460157394409,-0.9490460157394409,0.47686574428318185,-0.8508138060569763,0.11106421468573716,0.4890997885651539,0.07691152902020508
27,0.8693648874759674,0.9493010640144348,-0.9493010640144348,0.478526176872348,-0.8505657076835632,0.11101746587242595,0.48868367421740677,0.07849864213702214
28,0.8696640878915787,0.9490780234336853,-0.9490780234336853,0.4810556117328968,-0.851139509677887,0.1129756872684356,0.48547213254141364,0.08023100544156035
29,0.8690355867147446,0.948829174041748,-0.948829174041748,0.47638103503781687,-0.8529441714286804,0.11356070741378575,0.49216108899384386,0.07560818948647041
30,0.870204970240593,0.948980987071991,-0.948980987071991,0.4699306998362414,-0.8514478206634521,0.11092932309212274,0.4907620805430707,0.07852105919840625
31,0.8700125068426132,0.9497712850570679,-0.9497712850570679,0.47122150681550856,-0.8505815982818603,0.11100327602569507,0.4876965282651434,0.07952056935004204
32,0.8692127615213394,0.9488999843597412,-0.9488999843597412,0.47558637340440696,-0.8506062865257263,0.111673357363066,0.4864729083693013,0.07844674356544437
33,0.8694890141487122,0.9491157531738281,-0.9491157531738281,0.47726353483653083,-0.8523407340049743,0.11323856329973436,0.4890341680290276,0.07598040438800005
34,0.8702358901500702,0.9479743242263794,-0.9479743242263794,0.47086522671710446,-0.8515069484710693,0.11162637028857725,0.491275730322133,0.07512702582624028
35,0.8692743629217148,0.9490357041358948,-0.9490357041358948,0.4735728479684235,-0.8517982840538025,0.11219759384263134,0.49175915354055605,0.07466284861438106
36,0.8694319128990173,0.9486874938011169,-0.9486874938011169,0.4733732809344107,-0.8521225214004516,0.1116950280271706,0.4940044235016563,0.07583542541351077
37,0.8694799840450287,0.9479579925537109,-0.9479579925537109,0.47346951329159653,-0.8517061948776246,0.11171231716091395,0.49416609700366204,0.07936058415346016
38,0.8691461533308029,0.9486759901046753,-0.9486759901046753,0.47733870482418267,-0.8515691757202148,0.11330792844667478,0.4872186358797318,0.07820351607066885
39,0.8691760301589966,0.9493921995162964,-0.9493921995162964,0.47557046700726563,-0.8509788036346435,0.11297891365628589,0.48504290383919935,0.07970312108504468
40,0.8689437061548233,0.9485299587249756,-0.9485299587249756,0.4706946875833003,-0.8509326577186584,0.11120920459068137,0.48776120146504603,0.07637565408386225
41,0.8692227005958557,0.9489924907684326,-0.9489924907684326,0.47057104440320513,-0.8523021817207337,0.11258606486292949,0.49000566429296477,0.07525230584614707
42,0.8694276213645935,0.9474257230758667,-0.9474257230758667,0.46934636350859743,-0.8515933394432068,0.11102621767355454,0.49454325708935853,0.0784033741736965
43,0.8693537563085556,0.9480165243148804,-0.9480165243148804,0.4734340614342882,-0.8520469188690185,0.11164527222761281,0.4947138222115706,0.07459298683572693
44,0.8697838187217712,0.9488455057144165,-0.9488455057144165,0.47086462463411843,-0.8517300963401795,0.11363848053572316,0.48556846698800893,0.07851883480905736
45,0.8690677136182785,0.9475117325782776,-0.9475117325782776,0.46798514315170425,-0.8514699697494507,0.11268568326829152,0.4865852141042497,0.07949508553743201
46,0.8688735216856003,0.9478963613510132,-0.9478963613510132,0.47023971319933505,-0.8517043471336365,0.1118204159585789,0.4902312783605792,0.07653214259137162
47,0.8688366562128067,0.9471633434295654,-0.9471633434295654,0.47063811567623576,-0.8506039142608642,0.11057178175555472,0.4879457864512415,0.0776358583111416
48,0.8692358881235123,0.9478886127471924,-0.9478886127471924,0.47203303925000106,-0.8503724694252014,0.11013208330962085,0.48926317248420254,0.07699583326623162
49,0.8691036701202393,0.9485750198364258,-0.9485750198364258,0.4723323671114275,-0.8517181634902954,0.11217208266115355,0.49050951270113047,0.07662603161153277
50,0.869568407535553,0.9487086534500122,-0.9487086534500122,0.46972281143907657,-0.8522325038909913,0.11397805810123524,0.4900418770513128,0.07875140393270293
