dataset,n,K,runs,gap_mean,gap_std,TV_def_mean,TV_def_std,EZ_def_mean,EZ_def_std,H_def_mean,H_def_std,TV_norm_mean,TV_norm_std,EZ_norm_mean,EZ_norm_std,H_norm_mean,H_norm_std,MAP_def_mode,MAP_def_stability_rate,MAP_norm_mode,MAP_norm_stability_rate
outbreaktrees,41,25,10,0.009754436829940816,0.0010356679708847787,0.01075459415151272,0.0005652581938036895,25.480618414591298,0.6010831972179298,3.4277079820632936,0.025529968581000897,0.010754597269988153,0.0005652619892708994,25.480618637011503,0.6010833210547576,3.427708053588867,0.02552990347627184,31,0.6,31,0.6
outbreaktrees,41,50,10,0.0016676749053202932,0.0001864310128391814,9.913928806781769e-08,3.673416092893117e-08,25.253078685729996,0.5987972585120818,3.447743630409241,0.024459771111442957,7.417838787660003e-08,2.4650664972917484e-08,25.253078929442562,0.598798298179725,3.4477435111999513,0.024459759281667548,31,0.6,31,0.6
outbreaktrees,41,100,10,4.883648169951016e-05,6.7313942969707964e-06,5.5771670304238795e-08,1.8068273486819667e-08,25.253079058718868,0.5987988680400665,3.4477434396743774,0.02445971201034357,6.996997399255634e-08,1.918208991270508e-08,25.25307935071469,0.5987977523376825,3.447743558883667,0.024459734481164862,31,0.6,31,0.6
outbreaktrees,41,150,10,1.433693824082205e-06,2.5171180568621544e-07,5.013280315324664e-08,2.0478343466083062e-08,25.253078935851228,0.5987983268629896,3.447743463516235,0.024459693572894407,5.550682544708252e-08,1.1035336066428485e-08,25.253079161723143,0.5987982005980104,3.447743535041809,0.024459705298433176,31,0.6,31,0.6
outbreaktrees,41,300,10,3.680735716216077e-11,1.1451897400458613e-11,4.464818630367517e-08,1.7495548464984846e-08,25.253078989248024,0.5987987366694205,3.447743558883667,0.024459640955840294,4.464818630367517e-08,1.7495548464984846e-08,25.253078989248024,0.5987987366694205,3.447743558883667,0.024459640955840294,31,0.6,31,0.6
outbreaktrees,41,500,10,-1.1102230246251566e-17,8.191944760012301e-17,0.0,0.0,25.25307964150561,0.5987982379888833,3.4477435827255247,0.024459721931228143,0.0,0.0,25.25307964150561,0.5987982379888833,3.4477435827255247,0.024459721931228143,31,0.6,31,0.6
synthetic_nb_r0.3_p0.85,41,25,1,0.002006081077692623,0.0,2.4958287645482358e-05,0.0,10.529163915838325,0.0,3.094296455383301,0.0,2.5342358187963043e-05,0.0,10.529152892481271,0.0,3.094292163848877,0.0,8,1.0,8,1.0
synthetic_nb_r0.3_p0.85,41,50,1,2.247724146497987e-05,0.0,2.637680153405597e-06,0.0,10.528907126800632,0.0,3.0943002700805664,0.0,1.4620144961341452e-06,0.0,10.528989661419587,0.0,3.094329595565796,0.0,8,1.0,8,1.0
synthetic_nb_r0.3_p0.85,41,100,1,4.229981476200351e-09,0.0,3.7356294333434903e-06,0.0,10.528886795309987,0.0,3.0942981243133545,0.0,3.483087943401131e-06,0.0,10.528892100714785,0.0,3.094298839569092,0.0,8,1.0,8,1.0
synthetic_nb_r0.3_p0.85,41,150,1,9.531264666406969e-13,0.0,2.6898726934732053e-06,0.0,10.528909601223859,0.0,3.0943031311035156,0.0,2.6898726934732053e-06,0.0,10.528909601223859,0.0,3.0943031311035156,0.0,8,1.0,8,1.0
synthetic_nb_r0.3_p0.85,41,300,1,-2.220446049250313e-16,0.0,4.221620538480408e-06,0.0,10.528874302329832,0.0,3.0942931175231934,0.0,4.221620538480408e-06,0.0,10.528874302329832,0.0,3.0942931175231934,0.0,8,1.0,8,1.0
synthetic_nb_r0.3_p0.85,41,500,1,-2.220446049250313e-16,0.0,0.0,0.0,10.528973681508296,0.0,3.0943191051483154,0.0,0.0,0.0,10.528973681508296,0.0,3.0943191051483154,0.0,8,1.0,8,1.0
synthetic_powerlaw_alpha1.5,41,25,1,0.14427760159264713,0.0,0.007226772778267332,0.0,8.087751467222915,0.0,2.87803316116333,0.0,0.002270128905365709,0.0,8.091446984866707,0.0,2.879044771194458,0.0,5,1.0,5,1.0
synthetic_powerlaw_alpha1.5,41,50,1,0.10002907677261152,0.0,0.006109781485974963,0.0,8.112025555670698,0.0,2.884366989135742,0.0,0.005438029314746018,0.0,8.171352896955796,0.0,2.89778470993042,0.0,5,1.0,5,1.0
synthetic_powerlaw_alpha1.5,41,100,1,0.06839440911524186,0.0,0.007598744829010684,0.0,8.08098672160122,0.0,2.876575469970703,0.0,0.011983795906189698,0.0,8.335469525773078,0.0,2.9288673400878906,0.0,5,1.0,5,1.0
synthetic_powerlaw_alpha1.5,41,150,1,0.05431201157610077,0.0,0.012924676164402626,0.0,8.591864695190452,0.0,2.9707725048065186,0.0,0.0011767048310957762,0.0,8.031582066651026,0.0,2.86527681350708,0.0,5,1.0,5,1.0
synthetic_powerlaw_alpha1.5,41,300,1,0.03591302052344236,0.0,0.01005273541159113,0.0,8.037504846033698,0.0,2.8667821884155273,0.0,0.0009084044465907937,0.0,8.066552715084981,0.0,2.8732001781463623,0.0,5,1.0,5,1.0
synthetic_powerlaw_alpha1.5,41,500,1,0.025883784716562497,0.0,0.0,0.0,8.26547651621513,0.0,2.9162707328796387,0.0,0.0,0.0,8.051029558393566,0.0,2.86959171295166,0.0,5,1.0,5,1.0
